"","perCapita.LessThan5000","perCapita.5000to9999","perCapita.10000to14999","perCapita.15000to19999","perCapita.20000to24999","perCapita.25000to34999","perCapita.35000to49999","perCapita.50000to74999","perCapita.75000to99999","perCapita.100000to149999","perCapita.150000.or.more","perCapitaFFL"
"Alabama",1711.77770338132,1901.97522597924,2624.72581185136,2434.52828925343,2396.48878473385,4298.46401071309,5249.45162370271,6771.03180448611,4070.22698359558,3994.14797455641,2586.68630733177,25.2931822699265
"Alaska",610.448022187611,746.103138229302,1085.24092833353,1220.89604437522,1085.24092833353,2577.44720479213,4001.82592322989,6002.73888484484,5087.06685156342,6375.79045395949,5154.89440958427,81.8176181503018
"Arizona",1445.09542629957,1264.45849801212,1734.11451155948,1878.62405418944,2023.13359681939,3865.63026535134,5238.47092033593,6791.94850360796,4335.2862788987,4371.41366455619,3143.08255220156,26.1611805736805
"Arkansas",1576.00737847033,1921.96021764674,2729.18350905837,2498.54828294076,2652.3051003525,4843.33974846979,5765.88065294022,6803.73917046946,3997.67725270522,3574.84600482294,2114.15623941141,42.5304950146931
"California",959.108910256312,859.890747126348,1587.49061007941,1422.12700486281,1554.41788903609,2844.25400972561,3869.50836206857,5423.92625110466,4034.87196728517,5060.12631962813,5423.92625110466,6.49235387592316
"Colorado",1028.073147594,989.996364349779,1408.84098003622,1446.91776328045,1751.53202923422,3274.60335900312,5026.13538823734,6968.05133369268,5102.28895472579,6130.36210231979,4988.05860499312,31.1371294099528
"Connecticut",1087.03827066474,1012.07011406717,1461.87905365258,1499.36313195136,1499.36313195136,2698.85363751245,4235.70084776259,5959.96844950666,4685.509787348,6372.29331079328,6972.03856357383,15.08245229257
"Delaware",1232.48922756219,784.311326630483,1232.48922756219,1568.62265326097,1904.75607895974,3436.03057380974,4929.95691024875,7021.45378126337,5564.87560323533,5378.13481118046,4295.03821726217,12.542911110761
"Florida",1400.85056424542,1327.12158717987,1916.95340370426,2101.27584636813,2285.598289032,4165.68720420349,5455.94430285058,6819.93037856323,4202.55169273626,4091.95822713794,3170.34601381858,15.5072219578996
"Georgia",1469.81897362962,1398.1204871111,1971.70837925925,1792.46216296295,2079.25610903702,3692.47205570368,5018.89405629626,6524.56227318514,4122.66297481479,4445.30616414812,3333.97962311109,19.256500727924
"Hawaii",907.418901917473,750.967367104116,1001.28982280549,1063.87043673083,1063.87043673083,2127.74087346166,3410.64345893119,5569.67463935552,4537.09450958736,5882.57770898224,4975.15880706476,7.30340709774502
"Idaho",1301.23376419083,1301.23376419083,1987.99602862488,2096.43217564078,2168.72294031805,4373.59126297473,5385.66196845649,6831.47726200185,4337.4458806361,4229.0097336202,2096.43217564078,56.7490919749199
"Illinois",1307.01527146057,1232.32868451996,1605.76161922298,1792.47808657449,1867.1646735151,3398.23970579748,4705.25497725805,6535.07635730284,4742.59827072835,5489.46414013439,4667.91168378775,15.8620251309888
"Indiana",1255.14336810243,1293.17801562069,1901.73237591278,2129.94026102231,2129.94026102231,4297.91516956288,5819.30107029311,7340.68697102333,4754.33093978195,4526.12305467242,2624.39067875964,22.1127435586599
"Iowa",1078.65968481072,1278.41147829418,2037.46829353135,1957.56757613797,2077.41865222804,4074.9365870627,5633.00057623374,8149.87317412541,5553.09985884035,5233.49698926681,2916.3761848586,41.051335276958
"Kansas",1223.73712509732,1261.97891025661,1797.36390248669,1835.60568764598,2026.81461344243,3824.17851592912,5583.30063325651,7418.90632090249,4818.46493007069,5315.60813714147,3174.06816822117,38.5009310506569
"Kentucky",1435.1140925157,2133.27770509091,2559.93324610909,2443.57264401323,2327.21204191736,4421.70287964298,5662.88263533224,7020.42299311736,4305.34227754711,3995.0473386248,2404.78577664794,31.8366376123307
"Louisiana",1749.46189301258,2084.46523422775,2419.46857544293,2456.69116891128,2345.02338850622,3945.59490764539,4801.7145574175,6067.28273534149,4057.26268805044,4317.82084232891,2940.58488399986,26.0359595636824
"Maine",1066.29388176942,1640.45212579911,2501.68949184364,2583.71209813359,2173.59906668382,4347.19813336763,5536.52592457199,8038.21541641562,5372.48071199207,4798.32246796239,2952.81382643839,38.866553659502
"Maryland",908.231933268201,908.231933268201,1126.20759725257,1162.5368745833,1235.19542924475,2615.70796781242,3814.57411972644,6212.3064235545,4868.12316231756,6539.26991953105,6938.89197016906,9.81060748976929
"Massachusetts",1094.27996356261,1169.74754725658,1848.95580050234,1547.08546572645,1433.88409018549,2867.76818037098,3848.84676839263,5924.20531997689,4565.78881348537,6490.21219768169,6905.28390799854,7.19342186527191
"Michigan",1439.50178040002,1556.218140973,1984.17812974057,2100.89449031354,2178.70539736219,4123.97807357844,5602.38530750279,7275.31980904876,4668.65442291899,4746.46532996764,3229.15264251897,21.9498784333795
"Minnesota",861.656617907919,1057.48766743245,1566.64839619622,1644.98081600603,1840.81186553055,3329.12784191696,5052.4410777328,7402.41367202712,5483.26938668675,6227.42737487996,4739.11139849355,26.2547572877445
"Mississippi",2031.86620012779,2216.58130923031,2549.06850561486,2733.78361471738,2549.06850561486,4285.3905311786,5282.85212033224,6132.54162220386,3989.84635661456,3472.64405112749,1699.37900374324,31.4069160795157
"Missouri",1250.3490666212,1484.78951661267,2188.1108665871,2109.96404992327,2266.25768325092,4337.14832484229,5743.79102479114,7306.72735806764,4688.8089998295,4688.8089998295,2969.57903322535,36.5050057442967
"Montana",1286.1229777351,1607.65372216888,2250.71521103643,2210.52386798221,2652.62864157865,4461.23907901863,5787.55339980796,7917.69458168172,4742.57848039819,4622.00445123552,2692.81998463287,103.810958063155
"Nebraska",1021.67555108474,1218.15161860104,1925.46546165971,1886.17024815645,2161.23674267927,4008.11177733246,5540.62510395957,7583.97620612906,5186.96818243024,5462.03467695305,3261.50272077053,35.9530656062173
"Nevada",1264.74811686695,1084.06981445739,1662.24038216799,1734.51170313182,1987.46132650521,4011.05831349232,5384.21341180501,6901.91115204535,4733.77152313058,4480.82189975719,2926.98849903494,21.1220322864379
"New Hampshire",661.557945163975,895.048984633613,1323.11589032795,1517.69175655265,1712.26762277735,2918.63799337048,4630.90561614782,6926.90083759927,5681.6152937612,6771.24014461951,5876.1911599859,37.215452560131
"New Jersey",1070.33445877928,963.301012901351,1284.40135053513,1427.1126117057,1498.46824229099,2747.19177753348,3746.17060572748,5565.73918565225,4352.6934657024,6065.22859974925,6957.17398206531,3.68663584165812
"New Mexico",1684.47773620314,1904.19222353398,2343.62119819567,2343.62119819567,2343.62119819567,4137.95617806423,5016.8141273876,6261.86288892905,4028.09893439881,4028.09893439881,2526.71660430471,33.200946012723
"New York",1355.36637301634,1501.89246739649,1831.57617975182,1758.31313256174,1721.68160896671,3150.31102917312,4175.99368983414,5970.93834599092,4322.51978421429,5384.83396847034,5494.72853925545,8.41339926703529
"North Carolina",1340.59373687742,1493.80444966341,2336.46336998637,2298.16069178987,2259.85801359337,4404.80799259725,5630.49369488518,6817.87671897661,4366.50531440075,4289.89995800775,3025.91157752333,23.6273455862749
"North Dakota",994.060792643046,1325.41439019073,2070.95998467301,1698.18718743187,1946.70238559263,3893.40477118527,5757.26875739098,7082.6831475817,5550.17275892368,6585.65275126018,4556.11196628063,54.4449604548397
"Ohio",1429.02450562641,1627.50013140786,2103.84163328333,2183.2318835959,2183.2318835959,4247.37839172294,5597.01264703677,7343.5981539135,4842.80526906728,4922.19551937986,3175.61001250313,21.2610128272386
"Oklahoma",1350.61797905213,1575.72097556082,2138.47846683254,2175.99563291732,2288.54713117167,4089.37110324117,5552.54058054765,7090.74439002368,4351.99126583464,4201.92260149552,2701.23595810426,39.0036839833339
"Oregon",1196.36605465242,1427.92077490773,1891.03021541835,1968.21512217012,2045.40002892188,4090.80005784377,5248.57365912031,7255.38123466631,4862.64912536146,5055.61139224088,3589.09816395727,35.3205251134023
"Pennsylvania",1162.30633062912,1433.51114110925,1898.4336733609,2014.66430642381,1937.1772177152,3835.61089107611,5152.89139912244,7128.81216119195,4959.17367735092,5230.37848783105,3990.58506849332,19.9679652121321
"Rhode Island",1505.47277537947,1582.67650745022,2161.70449798078,1775.68583762707,1814.28770366244,3396.96421111266,4670.82579027991,6369.30789583623,5056.84445063362,5713.07617323493,4555.02019217379,8.57450813718456
"South Carolina",1518.14586562077,1556.09951226129,2353.1260917122,2201.31150515012,2315.17244507168,4250.80842373817,5541.23240951583,7097.33192177712,4440.57665694077,4061.04019053557,2580.84797155532,22.4310953503299
"South Dakota",1028.69408417345,1384.78049792579,2176.08363959768,1819.99722584533,2176.08363959768,4193.90665086098,5895.20840545553,7794.33594546805,5618.25230587037,4747.8188500313,2769.56099585159,59.6411440315334
"Tennessee",1419.54245725889,1649.73853140898,2301.96074150091,2263.59472914256,2378.6927662176,4373.72540885172,5716.53584139392,7097.71228629446,4258.62737177668,4143.52933470163,2762.35288980109,23.0873333920697
"Texas",1099.12195344605,1167.81707553643,1614.33536912389,1717.37805225946,1820.42073539502,3469.1036655641,4636.92074110053,6182.56098813404,4121.70732542269,4636.92074110053,3915.62195915156,22.7174333169338
"Utah",715.987122454384,684.857247565063,1089.54562112624,1089.54562112624,1307.45474535148,2832.81861492822,4233.66298494766,6475.01397697878,4669.48123339816,4794.00073295544,3237.50698848939,30.3294281156229
"Vermont",773.443190094683,1221.22608962318,2157.49942500096,2198.20696132173,2279.62203396328,3745.0933415111,5332.68725802124,7856.55450990915,5780.47015754974,5739.76262122896,3622.97073254878,49.6856091050079
"Virginia",1039.6433284769,1076.77344735107,1410.94451721864,1448.07463609282,1559.46499271534,3081.79986655651,4455.61426490098,6460.64068410642,4752.65521589438,5940.81901986797,5866.55878211962,20.3880069540341
"Washington",1028.88948631969,1143.21054035521,1448.06668444993,1448.06668444993,1600.49475649729,3315.31056703011,4877.69830551556,6935.47727815493,5258.76848563396,6020.90884587077,5068.23339557476,16.4962952799122
"West Virginia",1595.90408315241,2274.16331849219,2633.24173720148,2872.62734967434,2673.13933928029,4707.91704529962,6224.02592429441,6902.28515963419,4308.94102451152,3790.27219748698,1915.0848997829,48.8594664123936
"Wisconsin",1005.36660626909,1166.22526327214,1890.08921978588,1930.30388403664,2211.80653379199,4142.11041782863,5630.05299510688,8002.71818590192,5630.05299510688,5469.19433810382,3176.95847581031,27.2191754050675
"Wyoming",858.677191397226,975.769535678666,1756.3851642216,1834.44672707589,1873.47750850304,3707.92423557893,5230.12471123765,7337.78690830357,5620.43252550912,6674.26362404208,3161.49329559888,104.725127141827
